time,DA_price,spot_price,CO_price
27/06/2023 00:00,79.72,62.23,35
27/06/2023 00:30,79.72,71.21,35
27/06/2023 01:00,77.53,74.95,126.2
27/06/2023 01:30,77.53,75.66,124
27/06/2023 02:00,76.02,85.89,165
27/06/2023 02:30,76.02,93.19,165
27/06/2023 03:00,80,74.67,36
27/06/2023 03:30,80,68,36
27/06/2023 04:00,86.7,102.25,128.5
27/06/2023 04:30,86.7,109.83,128.5
27/06/2023 05:00,105.37,104.59,108.55
27/06/2023 05:30,105.37,115.91,111.56
27/06/2023 06:00,105.38,109.96,121.43
27/06/2023 06:30,105.38,119.66,124.95
27/06/2023 07:00,93.29,112.65,128.5
27/06/2023 07:30,93.29,107.03,128.5
27/06/2023 08:00,89.99,99.71,52
27/06/2023 08:30,89.99,88.3,46
27/06/2023 09:00,82.05,89.65,46
27/06/2023 09:30,82.05,84.19,46
27/06/2023 10:00,78.07,67.85,37.25
27/06/2023 10:30,78.07,68.89,37.25
27/06/2023 11:00,77.56,66.84,37.25
27/06/2023 11:30,77.56,63.6,37.25
27/06/2023 12:00,73.52,60.29,37.25
27/06/2023 12:30,73.52,58.37,38
27/06/2023 13:00,76,55.9,38
27/06/2023 13:30,76,55.71,38
27/06/2023 14:00,80.09,45.38,37
27/06/2023 14:30,80.09,47.17,37
27/06/2023 15:00,88.64,51.64,119
27/06/2023 15:30,88.64,62.32,119
27/06/2023 16:00,98.3,77.51,43.27
27/06/2023 16:30,98.3,78.26,124
27/06/2023 17:00,113.95,100.56,140
27/06/2023 17:30,113.95,99.59,140
27/06/2023 18:00,118.37,110.25,80
27/06/2023 18:30,118.37,105.5,117.58
27/06/2023 19:00,112.4,104.7,118
27/06/2023 19:30,112.4,101.97,45.56
27/06/2023 20:00,106.06,114.18,45
27/06/2023 20:30,106.06,100.67,43.1
27/06/2023 21:00,96.67,100.76,131.4
27/06/2023 21:30,96.67,90.65,125
27/06/2023 22:00,85,73.77,131.9
27/06/2023 22:30,85,77.6,120
26/06/2023 00:00,,92.5,124.75
26/06/2023 00:30,,92.45,124.75
26/06/2023 01:00,,99.19,124.75
26/06/2023 01:30,,92.2,51.29
26/06/2023 02:00,,86.95,48.72
26/06/2023 02:30,,83.13,44.71
26/06/2023 03:00,,90.85,51
26/06/2023 03:30,,77.94,35.1
26/06/2023 04:00,,81.64,35.1
26/06/2023 04:30,,88.04,100
26/06/2023 05:00,,94.51,124.75
26/06/2023 05:30,,107.35,124.75
26/06/2023 06:00,,110.84,128.2
26/06/2023 06:30,,121.95,135
26/06/2023 07:00,,99.45,40
26/06/2023 07:30,,101.11,124.75
26/06/2023 08:00,,99.08,124.75
26/06/2023 08:30,,101.68,124.75
26/06/2023 09:00,,103.85,124.75
26/06/2023 09:30,,104.22,118
26/06/2023 10:00,,107.71,40
26/06/2023 10:30,,98.94,118
26/06/2023 11:00,,103.02,118
26/06/2023 11:30,,94.15,30
26/06/2023 12:00,,86.46,30
26/06/2023 12:30,,82.19,30.02
26/06/2023 13:00,,80.9,30
26/06/2023 13:30,,84.66,118
26/06/2023 14:00,,95.38,30.02
26/06/2023 14:30,,90.31,30
26/06/2023 15:00,,70.28,26
26/06/2023 15:30,,67.51,30.02
26/06/2023 16:00,,84.32,126.2
26/06/2023 16:30,,80.55,126.2
26/06/2023 17:00,,102.03,126.2
26/06/2023 17:30,,107.29,126.2
26/06/2023 18:00,,111.6,35
26/06/2023 18:30,,105.99,63.9
26/06/2023 19:00,,104.87,116
26/06/2023 19:30,,106.57,121.17
26/06/2023 20:00,,102.13,126.2
26/06/2023 20:30,,103.43,111.06
26/06/2023 21:00,,103.37,93.54
26/06/2023 21:30,,84.7,31.25
26/06/2023 22:00,,84.23,31.25
26/06/2023 22:30,,72.17,31.25
26/06/2023 23:00,86.02,79.99,126.2
26/06/2023 23:30,86.02,69.88,32
25/06/2023 00:00,85.02,73.3,68.25
25/06/2023 00:30,85.02,79.3,75
25/06/2023 01:00,81.14,69.64,61.07
25/06/2023 01:30,81.14,64.78,61.07
25/06/2023 02:00,75.94,65.63,123.75
25/06/2023 02:30,75.94,67.06,100
25/06/2023 03:00,72.6,38.17,19.24
25/06/2023 03:30,72.6,29.76,19.24
25/06/2023 04:00,69.36,28.8,18.2
25/06/2023 04:30,69.36,22.17,21.5
25/06/2023 05:00,66.17,36.58,75
25/06/2023 05:30,66.17,41.21,100
25/06/2023 06:00,61.5,12.51,123.75
25/06/2023 06:30,61.5,37.28,123.75
25/06/2023 07:00,45.49,5.51,118
25/06/2023 07:30,45.49,50.74,123.75
25/06/2023 08:00,23.64,18.74,-25.05
25/06/2023 08:30,23.64,9.89,-25.05
25/06/2023 09:00,12.66,13.15,105.8
25/06/2023 09:30,12.66,22.3,123
25/06/2023 10:00,6.52,38.6,123.75
25/06/2023 10:30,6.52,48.78,123.75
25/06/2023 11:00,0.01,54.65,123.75
25/06/2023 11:30,0.01,52.76,123.75
25/06/2023 12:00,0.01,70.47,123.67
25/06/2023 12:30,0.01,69.18,123
25/06/2023 13:00,3.83,72.32,115
25/06/2023 13:30,3.83,72.5,120
25/06/2023 14:00,20.86,91.32,115
25/06/2023 14:30,20.86,95.58,115
25/06/2023 15:00,58.94,89.97,120
25/06/2023 15:30,58.94,91.19,120
25/06/2023 16:00,83.35,97.1,123.75
25/06/2023 16:30,83.35,90.89,124
25/06/2023 17:00,93.64,104.26,135
25/06/2023 17:30,93.64,100.15,135
25/06/2023 18:00,100.89,119.51,128.2
25/06/2023 18:30,100.89,110.99,128.2
25/06/2023 19:00,105.01,104.34,150
25/06/2023 19:30,105.01,107.33,200
25/06/2023 20:00,104.87,104.46,200
25/06/2023 20:30,104.87,114.53,200
25/06/2023 21:00,99.65,120.95,180
25/06/2023 21:30,99.65,121.34,180
25/06/2023 22:00,87.98,109.82,135
25/06/2023 22:30,87.98,108.5,135
25/06/2023 23:00,,102.24,125
25/06/2023 23:30,,100.74,124.75
24/06/2023 00:00,86.18,94.94,140
24/06/2023 00:30,86.18,100.3,144.9
24/06/2023 01:00,83.09,96.92,96.92
24/06/2023 01:30,83.09,95.08,95.08
24/06/2023 02:00,78.34,87.67,65.65
24/06/2023 02:30,78.34,85.12,65.65
24/06/2023 03:00,78.19,85.54,65.65
24/06/2023 03:30,78.19,85.96,65.65
24/06/2023 04:00,76,85.27,74.13
24/06/2023 04:30,76,86.86,75.37
24/06/2023 05:00,79,84.79,63.22
24/06/2023 05:30,79,89.79,129.8
