time,DA_price,spot_price,CO_price
08/04/2024 00:00,17.6,32.57,-25.11
08/04/2024 00:30,17.6,38.07,0
08/04/2024 01:00,23.03,29.03,-8.9
08/04/2024 01:30,23.03,39.66,5.72
08/04/2024 02:00,24.93,31.67,16.04
08/04/2024 02:30,24.93,32.66,33.44
08/04/2024 03:00,33.02,14.16,23.6
08/04/2024 03:30,33.02,25.03,14.22
08/04/2024 04:00,49.19,41.69,33.25
08/04/2024 04:30,49.19,42.17,34.4
08/04/2024 05:00,66.23,51.69,51.69
08/04/2024 05:30,66.23,53.42,0
08/04/2024 06:00,70.17,54.16,30
08/04/2024 06:30,70.17,72.04,82.5
08/04/2024 07:00,75.48,60.45,82.5
08/04/2024 07:30,75.48,75.73,85
08/04/2024 08:00,66.46,73.98,82.5
08/04/2024 08:30,66.46,75.57,40
08/04/2024 09:00,58.48,67.59,40
08/04/2024 09:30,58.48,65.32,40
08/04/2024 10:00,60.96,60.33,31.05
08/04/2024 10:30,60.96,59.07,31.05
08/04/2024 11:00,68.72,65.19,34.92
08/04/2024 11:30,68.72,60.62,41
08/04/2024 12:00,63.55,59.49,41
08/04/2024 12:30,63.55,55.45,37.46
08/04/2024 13:00,66.6,52.86,34.92
08/04/2024 13:30,66.6,51.54,35
08/04/2024 14:00,70.04,52.38,41.11
08/04/2024 14:30,70.04,50.38,37.46
08/04/2024 15:00,67,51.76,41.53
08/04/2024 15:30,67,55.36,46
08/04/2024 16:00,83.06,69.59,110
08/04/2024 16:30,83.06,74.94,112
08/04/2024 17:00,90.05,83.27,115
08/04/2024 17:30,90.05,85.16,115
08/04/2024 18:00,85.65,81.63,115
08/04/2024 18:30,85.65,80.49,115
08/04/2024 19:00,72.36,78.53,112
08/04/2024 19:30,72.36,81.47,110
08/04/2024 20:00,67.36,74.39,87.5
08/04/2024 20:30,67.36,74.2,85
08/04/2024 21:00,63.22,69.31,92
08/04/2024 21:30,63.22,66.3,47
08/04/2024 22:00,68.96,64.8,54.18
08/04/2024 22:30,68.96,60.64,47.01
08/04/2024 23:00,58,54.05,40.5
08/04/2024 23:30,58,49.31,39.55
