time,DA_price,spot_price,CO_price
22/05/2023 00:00,61.59,70.34,45
22/05/2023 00:30,61.59,68.85,45
22/05/2023 01:00,63.53,69.43,55.6
22/05/2023 01:30,63.53,67.01,45
22/05/2023 02:00,66.01,71.65,45
22/05/2023 02:30,66.01,64.85,43.05
22/05/2023 03:00,66.79,77.54,43.05
22/05/2023 03:30,66.79,71.86,43.05
22/05/2023 04:00,76.57,68.7,45
22/05/2023 04:30,76.57,78.74,55.5
22/05/2023 05:00,90.01,95.21,115
22/05/2023 05:30,90.01,108.89,126
22/05/2023 06:00,101.56,107.04,135
22/05/2023 06:30,101.56,114.92,135
22/05/2023 07:00,90.95,108.83,135
22/05/2023 07:30,90.95,109.08,126
22/05/2023 08:00,79.92,112.58,150
22/05/2023 08:30,79.92,112.4,126
22/05/2023 09:00,69.57,102.47,124
22/05/2023 09:30,69.57,94.6,124
22/05/2023 10:00,72.18,80.31,57.75
22/05/2023 10:30,72.18,73.74,55
22/05/2023 11:00,64.95,73.84,55
22/05/2023 11:30,64.95,70.66,46.5
22/05/2023 12:00,60.89,83.1,48.75
22/05/2023 12:30,60.89,69.38,48.75
22/05/2023 13:00,57.12,70.27,119
22/05/2023 13:30,57.12,69.63,119
22/05/2023 14:00,61.43,87.6,49
22/05/2023 14:30,61.43,86.38,48.75
22/05/2023 15:00,66.56,77,49
22/05/2023 15:30,66.56,79.08,96.9
22/05/2023 16:00,78.66,86.35,126.5
22/05/2023 16:30,78.66,100.72,127.5
22/05/2023 17:00,92.09,85.92,51
22/05/2023 17:30,92.09,90.99,51
22/05/2023 18:00,92.78,80.66,51
22/05/2023 18:30,92.78,80.45,60
22/05/2023 19:00,93.23,95.05,115
22/05/2023 19:30,93.23,87.23,51.1
22/05/2023 20:00,88.6,83.44,114
22/05/2023 20:30,88.6,73.95,109
22/05/2023 21:00,77.39,74.04,51
22/05/2023 21:30,77.39,73.8,49.3
22/05/2023 22:00,74.62,85.08,105
22/05/2023 22:30,74.62,90.77,58
22/05/2023 23:00,66.7,69.51,48.75
22/05/2023 23:30,66.7,64.69,48.75
23/05/2023 00:00,64.09,65.47,109
23/05/2023 00:30,64.09,81.77,140
23/05/2023 01:00,60.85,88.19,150
23/05/2023 01:30,60.85,85.31,131.4
23/05/2023 02:00,59.6,80.49,80.49
23/05/2023 02:30,59.6,77.39,80.81
23/05/2023 03:00,61,77,73.08
23/05/2023 03:30,61,73.77,49.25
23/05/2023 04:00,68.01,75.03,48.75
23/05/2023 04:30,68.01,74.82,48.75
23/05/2023 05:00,82,73.85,48.75
23/05/2023 05:30,82,85.72,115
23/05/2023 06:00,99.85,73.35,100
23/05/2023 06:30,99.85,103.73,49.5
23/05/2023 07:00,92.4,74.38,49.25
23/05/2023 07:30,92.4,71.41,49.25
23/05/2023 08:00,77.61,62.81,49.25
23/05/2023 08:30,77.61,60.05,50
