time,DA_price,spot_price,CO_price
04/10/2021 00:00,136.9,71.51,50.83
04/10/2021 00:30,136.9,73.21,52.13
04/10/2021 01:00,141.99,74.68,50
04/10/2021 01:30,141.99,79.02,51.57
04/10/2021 02:00,136.95,96.55,48.21
04/10/2021 02:30,136.95,95.89,47.68
04/10/2021 03:00,141.99,87.85,67.46
04/10/2021 03:30,141.99,71.65,66
04/10/2021 04:00,164.57,123.08,134.55
04/10/2021 04:30,164.57,117.66,131.66
04/10/2021 05:00,193.98,160.97,255.95
04/10/2021 05:30,193.98,160.96,257
04/10/2021 06:00,175.49,190.46,91
04/10/2021 06:30,175.49,214.58,225
04/10/2021 07:00,220.2,174.73,225
04/10/2021 07:30,220.2,194.52,91
04/10/2021 08:00,220.15,185.55,225
04/10/2021 08:30,220.15,153.17,91
04/10/2021 09:00,165.66,164.75,91
04/10/2021 09:30,165.66,157.78,91
04/10/2021 10:00,154.46,136.35,91.5
04/10/2021 10:30,154.46,132.94,91
04/10/2021 11:00,144.63,140.47,91.5
04/10/2021 11:30,144.63,138.8,91.5
04/10/2021 12:00,132.71,139.96,91.5
04/10/2021 12:30,132.71,137.01,91.5
04/10/2021 13:00,127.54,141.05,224.85
04/10/2021 13:30,127.54,155.55,225
04/10/2021 14:00,145,147.42,92
04/10/2021 14:30,145,136.33,91
04/10/2021 15:00,189.95,123.35,91.55
04/10/2021 15:30,189.95,132.07,92
04/10/2021 16:00,250.45,177.07,93
04/10/2021 16:30,250.45,197.76,249
04/10/2021 17:00,356.54,207.51,249.5
04/10/2021 17:30,356.54,214.78,249.5
04/10/2021 18:00,300,226.32,249.5
04/10/2021 18:30,300,219.41,94.5
04/10/2021 19:00,229.06,163.56,94.5
04/10/2021 19:30,229.06,164.83,94.5
04/10/2021 20:00,161.16,186.06,225
04/10/2021 20:30,161.16,177.45,94.5
04/10/2021 21:00,150,180.11,225
04/10/2021 21:30,150,157.41,94.5
04/10/2021 22:00,207,163.58,122.1
04/10/2021 22:30,207,181.09,244
04/10/2021 23:00,183.64,184.34,235
04/10/2021 23:30,183.64,167.37,225
05/10/2021 00:00,173.36,162.64,225
05/10/2021 00:30,173.36,164.2,85.88
05/10/2021 01:00,164.95,167.64,215
05/10/2021 01:30,164.95,157.06,77
05/10/2021 02:00,121.75,140.71,226.56
05/10/2021 02:30,121.75,147.08,225
05/10/2021 03:00,105.16,156.55,237
05/10/2021 03:30,105.16,146.87,92.18
05/10/2021 04:00,145.25,137.36,72
05/10/2021 04:30,145.25,143.14,72
05/10/2021 05:00,194.9,170.51,72
05/10/2021 05:30,194.9,177.3,90
05/10/2021 06:00,194.99,153.96,77.6
05/10/2021 06:30,194.99,173.7,239
05/10/2021 07:00,231.44,211.43,245
05/10/2021 07:30,231.44,209.56,239
05/10/2021 08:00,234.82,197.73,245
05/10/2021 08:30,234.82,191.28,239
05/10/2021 09:00,208.99,193.28,239
05/10/2021 09:30,208.99,192.22,239
05/10/2021 10:00,187.59,181.3,245
05/10/2021 10:30,187.59,187.63,224
05/10/2021 11:00,175.65,181.99,93
05/10/2021 11:30,175.65,161.78,85.2
05/10/2021 12:00,155.08,134.59,85.2
05/10/2021 12:30,155.08,133.19,85.1
05/10/2021 13:00,152.03,136.96,93
05/10/2021 13:30,152.03,136.06,93
05/10/2021 14:00,153.11,150.81,93.15
05/10/2021 14:30,153.11,147.68,81.5
05/10/2021 15:00,167.4,151.87,85.1
05/10/2021 15:30,167.4,152.98,85.4
05/10/2021 16:00,195.48,166.55,93
05/10/2021 16:30,195.48,166.46,93.34
05/10/2021 17:00,244.46,174.98,235
05/10/2021 17:30,244.46,201,264
05/10/2021 18:00,253.66,211.62,278
05/10/2021 18:30,253.66,214.09,94
05/10/2021 19:00,169.57,211.23,94
05/10/2021 19:30,169.57,209.75,94
05/10/2021 20:00,182.84,212.37,260
05/10/2021 20:30,182.84,208.93,250
05/10/2021 21:00,149.49,201.87,250
05/10/2021 21:30,149.49,187.42,254
05/10/2021 22:00,170.79,164.76,69.77
05/10/2021 22:30,170.79,84.3,61.34
05/10/2021 23:00,,82.29,59.03
05/10/2021 23:30,,88.24,59.03
06/10/2021 00:00,,66.83,56.8
06/10/2021 00:30,,85.09,200
06/10/2021 01:00,,121.35,231
06/10/2021 01:30,,116.25,55.25
06/10/2021 02:00,,92.48,47.82
06/10/2021 02:30,,76.78,48.54
06/10/2021 03:00,,106.51,180
06/10/2021 03:30,,102.33,180
06/10/2021 04:00,,110.26,116.1
06/10/2021 04:30,,134.99,119.1
06/10/2021 05:00,,192.87,235
06/10/2021 05:30,,204.24,181.33
06/10/2021 06:00,,244.86,300
06/10/2021 06:30,,280.23,310
06/10/2021 07:00,,276.11,300
06/10/2021 07:30,,276.47,310
06/10/2021 08:00,,280.54,299.89
06/10/2021 08:30,,280.81,312.63
06/10/2021 09:00,,274.61,290
06/10/2021 09:30,,255.97,380
06/10/2021 10:00,,263.37,290
06/10/2021 10:30,,275.33,290
06/10/2021 11:00,,268.28,310
06/10/2021 11:30,,271.7,290
06/10/2021 12:00,,259.34,270
06/10/2021 12:30,,243.84,110
06/10/2021 13:00,,214.61,110.01
06/10/2021 13:30,,209.03,110.01
06/10/2021 14:00,,199.54,111
06/10/2021 14:30,,220.28,270
06/10/2021 15:00,,199.87,110.5
06/10/2021 15:30,,210.02,110
06/10/2021 16:00,,246.57,112
06/10/2021 16:30,,253.06,398.9
06/10/2021 17:00,,289.1,110
06/10/2021 17:30,,275.98,116
06/10/2021 18:00,,203.35,116
06/10/2021 18:30,,206.14,110
06/10/2021 19:00,,190.45,115.01
06/10/2021 19:30,,194.47,115.01
06/10/2021 20:00,,180.46,115
06/10/2021 20:30,,186.94,117.1
06/10/2021 21:00,,186.87,255
06/10/2021 21:30,,200.69,269
06/10/2021 22:00,,254.14,269
06/10/2021 22:30,,232.33,240
06/10/2021 23:00,220.08,246.74,240
06/10/2021 23:30,220.08,226.32,240
07/10/2021 00:00,228.48,217.56,205.09
07/10/2021 00:30,228.48,220.93,205.09
07/10/2021 01:00,220.05,209.4,166.23
07/10/2021 01:30,220.05,182.42,166.8
07/10/2021 02:00,200.01,150.87,150.87
07/10/2021 02:30,200.01,163.85,240
07/10/2021 03:00,203.93,195.68,265
07/10/2021 03:30,203.93,202.24,240
07/10/2021 04:00,266.69,227.6,245
07/10/2021 04:30,266.69,204.29,274
07/10/2021 05:00,364.96,265.16,278
07/10/2021 05:30,364.96,251.16,117
07/10/2021 06:00,365.21,263.08,290
07/10/2021 06:30,365.21,316.11,300
07/10/2021 07:00,306.82,281.51,279
07/10/2021 07:30,306.82,268,279
07/10/2021 08:00,286.36,232.32,300
07/10/2021 08:30,286.36,207.36,114
07/10/2021 09:00,258.25,222.27,300
07/10/2021 09:30,258.25,224.01,299.91
07/10/2021 10:00,251.19,196.71,279
07/10/2021 10:30,251.19,184.28,113
07/10/2021 11:00,253.7,195.33,114
07/10/2021 11:30,253.7,171.03,113
07/10/2021 12:00,241.22,180.01,113
07/10/2021 12:30,241.22,170.7,114.1
07/10/2021 13:00,228.73,169.52,114.1
07/10/2021 13:30,228.73,176.03,121
07/10/2021 14:00,230,179.06,300
07/10/2021 14:30,230,181.22,300
07/10/2021 15:00,253.58,182.43,300
07/10/2021 15:30,253.58,220.6,350
07/10/2021 16:00,330.26,219.73,113
07/10/2021 16:30,330.26,216.27,114.25
07/10/2021 17:00,398.7,219.66,114.1
07/10/2021 17:30,398.7,227.48,350
07/10/2021 18:00,364.95,209.41,115
07/10/2021 18:30,364.95,211.01,269
07/10/2021 19:00,292.98,209.5,118
07/10/2021 19:30,292.98,188.61,116.01
07/10/2021 20:00,261.98,167.18,116.01
07/10/2021 20:30,261.98,168.23,116
07/10/2021 21:00,251.89,175.58,249
07/10/2021 21:30,251.89,176.11,114
07/10/2021 22:00,178,164.11,115
07/10/2021 22:30,178,149.81,93
07/10/2021 23:00,159.95,151.74,93
07/10/2021 23:30,159.95,135.93,93
08/10/2021 00:00,162.7,134.12,93
08/10/2021 00:30,162.7,137.79,90
08/10/2021 01:00,162.02,137,93
08/10/2021 01:30,162.02,133.11,225
08/10/2021 02:00,159.94,135.67,115
08/10/2021 02:30,159.94,132.21,93
08/10/2021 03:00,168.78,156.92,229
08/10/2021 03:30,168.78,148.56,300
08/10/2021 04:00,198.1,195.34,225
08/10/2021 04:30,198.1,190.74,225
08/10/2021 05:00,229.92,186.86,121
08/10/2021 05:30,229.92,178.68,121
08/10/2021 06:00,259.72,168.66,110
08/10/2021 06:30,259.72,212.58,275
08/10/2021 07:00,292.01,221.1,125
08/10/2021 07:30,292.01,210.55,295
08/10/2021 08:00,267.47,190.3,275
08/10/2021 08:30,267.47,185.7,295
08/10/2021 09:00,222.44,189.84,299
08/10/2021 09:30,222.44,189.51,360
08/10/2021 10:00,174.97,194.23,275
08/10/2021 10:30,174.97,186.02,117
08/10/2021 11:00,162.99,175.44,118
08/10/2021 11:30,162.99,165.27,240
08/10/2021 12:00,155.14,194.64,244
08/10/2021 12:30,155.14,176.83,230
