datetime,Date,DA_price,power_DA,market_dispatch_DA,opening_capacity_DA,throughput_DA,profit_DA,SoH_DA,spot_price,power,market_dispatch,opening_capacity,throughput,profit,SoH,,,Date,DA TP,DA profit,
01/01/2021 00:00,01/01/2021,65.73,0,0,0,0,0,2,68.54,0,0,0,0,0,2,,,01/01/2021,5.87572002,57.59998561,9.803051443
01/01/2021 00:30,01/01/2021,65.73,0,0,0,0,0,2,69.82,0,0,0,0,0,2,,,02/01/2021,5.437028806,250.3912834,46.05296245
01/01/2021 01:00,01/01/2021,64.96,0,0,0,0,0,2,67.42,0,0,0,0,0,2,,,03/01/2021,7.995624927,167.7365244,20.97853838
01/01/2021 01:30,01/01/2021,64.96,0,0,0,0,0,2,65.45,0,0,0,0,0,2,,,04/01/2021,9.869192583,70.53106759,7.14658945
01/01/2021 02:00,01/01/2021,60.47,0,0,0,0,0,2,59.44,0,0,0,0,0,2,,,05/01/2021,7.991354379,100.8434393,12.61906738
01/01/2021 02:30,01/01/2021,60.47,0,0,0,0,0,2,57.07,0,0,0,0,0,2,,,06/01/2021,9.989133336,104.8417246,10.49557765
01/01/2021 03:00,01/01/2021,52.5,0,0,0,0,0,2,50.1,-1,-0.5,0,0,-25.05,2,,,07/01/2021,9.862769907,84.06534141,8.523502241
01/01/2021 03:30,01/01/2021,52.5,0,0,0,0,0,2,50.98,0,0,0.469,0.469,0,1.99996717,,,08/01/2021,7.984549506,75.14133734,9.410842437
01/01/2021 04:00,01/01/2021,48.98,-0.264093838,-0.132046919,0,0,-6.467658081,2,57.77,0,0,0.469,0,1.160692416,1.99996717,,,09/01/2021,7.982889223,125.7353272,15.75060403
01/01/2021 04:30,01/01/2021,48.98,0,0,0.12386001,0.12386001,0,1.99999133,53.64,0,0,0.469,0,0,1.99996717,,,10/01/2021,9.857509093,631.830708,64.09638601
01/01/2021 05:00,01/01/2021,48.95,-1,-0.5,0.12386001,0,-24.475,1.99999133,53.42,0,0,0.469,0,2.235,1.99996717,,,11/01/2021,9.854994623,386.9419998,39.26354245
01/01/2021 05:30,01/01/2021,48.95,-1,-0.5,0.59286001,0.469,-24.475,1.9999585,55.26,0,0,0.469,0,3.155,1.99996717,,,12/01/2021,7.740692803,227.3788731,29.37448609
01/01/2021 06:00,01/01/2021,48.96,-1,-0.5,1.06186001,0.469,-24.48,1.99992567,57.78,0.938,0.439922,0.469,0,29.82869316,1.99996717,,,13/01/2021,9.47383765,2036.260938,214.9351734
01/01/2021 06:30,01/01/2021,48.96,-1,-0.5,1.53086001,0.469,-24.48,1.99989284,55.16,0,0,0,0.469,3.1,1.99993434,,,14/01/2021,5.862088518,1966.461902,335.4541467
01/01/2021 07:00,01/01/2021,52.02,0,0,1.99986001,0.469,0,1.99986001,37.71,-1,-0.5,0,0,-18.855,1.99993434,,,15/01/2021,9.468875573,1350.248185,142.5985773
01/01/2021 07:30,01/01/2021,52.02,0,0,1.99986001,0,0,1.99986001,36.79,-1,-0.5,0.469,0.469,-18.395,1.99990151,,,16/01/2021,7.735657531,101.0410766,13.06173085
01/01/2021 08:00,01/01/2021,51.05,0,0,1.99986001,0,0,1.99986001,42.52,-1,-0.5,0.938,0.469,-21.26,1.99986868,,,17/01/2021,11.04831199,113.2538099,10.25077948
01/01/2021 08:30,01/01/2021,51.05,0,0,1.99986001,0,0,1.99986001,47.65,0,0,1.407,0.469,0,1.99983585,,,18/01/2021,7.418940624,80.68014022,10.8748869
01/01/2021 09:00,01/01/2021,55.47,0,0,1.99986001,0,0,1.99986001,41.98,-1,-0.5,1.407,0,-20.99,1.99983585,,,19/01/2021,7.731866767,49.50445323,6.402652131
01/01/2021 09:30,01/01/2021,55.47,0,0,1.99986001,0,0,1.99986001,44.08,-0.263953847,-0.131976924,1.876,0.469,-5.817542795,1.99980302,,,20/01/2021,7.35467631,95.16407161,12.93926036
01/01/2021 10:00,01/01/2021,57,0,0,1.99986001,0,0,1.99986001,49.93,0,0,1.999794354,0.123794354,0,1.999794354,,,21/01/2021,9.168119334,113.3655044,12.36518639
01/01/2021 10:30,01/01/2021,57,0,0,1.99986001,0,0,1.99986001,46.79,0,0,1.999794354,0,0,1.999794354,,,22/01/2021,7.95351764,102.2495001,12.85588399
01/01/2021 11:00,01/01/2021,60.72,0,0,1.99986001,0,0,1.99986001,53.42,0,0,1.999794354,0,0,1.999794354,,,23/01/2021,7.727955203,89.19448602,11.54179646
01/01/2021 11:30,01/01/2021,60.72,0,0,1.99986001,0,0,1.99986001,60.35,0,0,1.999794354,0,0,1.999794354,,,24/01/2021,5.628,197.5612682,35.10328148
01/01/2021 12:00,01/01/2021,62.41,0,0,1.99986001,0,0,1.99986001,68.28,0,0,1.999794354,0,0,1.999794354,,,25/01/2021,9.385814839,123.8195932,13.19220498
01/01/2021 12:30,01/01/2021,62.41,0,0,1.99986001,0,0,1.99986001,63.13,0,0,1.999794354,0,0,1.999794354,,,26/01/2021,7.724941684,85.60354013,11.08144807
01/01/2021 13:00,01/01/2021,68.6,1,0.469,1.99986001,0,32.1734,1.99986001,70.06,0,0,1.999794354,0,-0.68474,1.999794354,,,27/01/2021,5.471597647,160.321024,29.30058722
01/01/2021 13:30,01/01/2021,68.6,0.876262658,0.410967187,1.49986001,0.5,28.19234901,1.99982501,69.02,0,0,1.999794354,0,-0.172606218,1.999794354,,,28/01/2021,9.160669811,88.41213204,9.651273745
01/01/2021 14:00,01/01/2021,68.6,0,0,1.061728681,0.438131329,0,1.999794341,71.27,0,0,1.999794354,0,0,1.999794354,,,29/01/2021,9.221982645,102.8009951,11.14738544
01/01/2021 14:30,01/01/2021,68.6,0,0,1.061728681,0,0,1.999794341,70.33,0,0,1.999794354,0,0,1.999794354,,,30/01/2021,7.721032954,101.7538686,13.17878957
