datetime,DA_price,power_DA,market_dispatch_DA,opening_capacity_DA,throughput_DA,throughput_daily,profit_DA,profit_daily,SoH_DA,datetime,spot_price,power,market_dispatch,opening_capacity,throughput,throughput_daily,profit,profit_daily,SoH,net_profit,,,,,
01/01/2018 00:00,95.43,0,0,0,0,0,0,0,2,01/01/2018 00:00,90.43,0,0,0,0,0,0,0,2,0,,,,MIN_BATTERY_CAPACITY = 0,
01/01/2018 00:30,97.46,1.78E-16,8.37E-17,0,0,8.92E-17,8.16E-15,8.16E-15,2,01/01/2018 00:30,92.46,0,0,0,0,0,0,0,2,4.19E-16,,,,    MAX_BATTERY_CAPACITY = 2,
01/01/2018 01:00,92.62,0,0,0,0,8.92E-17,0,8.16E-15,2,01/01/2018 01:00,87.62,0,0,0,0,0,0,0,2,0,,,,    MAX_RAW_POWER = 1,
01/01/2018 01:30,78.08,0,0,0,0,8.92E-17,0,8.16E-15,2,01/01/2018 01:30,73.08,0,0,0,0,0,0,0,2,0,,,,    DEG_FACTOR = 0.00007 #applied to throughput ,
01/01/2018 02:00,75.18,0,0,0,0,8.92E-17,0,8.16E-15,2,01/01/2018 02:00,70.18,0,0,0,0,0,0,0,2,0,,,,    INITIAL_CAPACITY = initial_capacity # Default initial capacity will assume to be 0,
01/01/2018 02:30,72.43,0,0,0,0,8.92E-17,0,8.16E-15,2,01/01/2018 02:30,67.43,0,0,0,0,0,0,0,2,0,,,,    EFFICIENCY = 0.938 # single leg efficiency,
01/01/2018 03:00,71.31,0,0,0,0,8.92E-17,0,8.16E-15,2,01/01/2018 03:00,66.31,0,0,0,0,0,0,0,2,0,,,,    MLF = 1 # Marginal Loss Factor,
01/01/2018 03:30,72.72,0,0,0,0,8.92E-17,0,8.16E-15,2,01/01/2018 03:30,67.72,0,0,0,0,0,0,0,2,0,,,,    MARGINAL_COST = 50 #Minimum discharge revenue - is applied to total throughput (not just discharge),
01/01/2018 04:00,70.5,0,0,0,0,8.92E-17,0,8.16E-15,2,01/01/2018 04:00,65.5,0,0,0,0,0,0,0,2,0,,,,    MAX_DAILY_THROUGHPUT =  MAX_BATTERY_CAPACITY * (EFFICIENCY**2) * 2 * 4 # redefine for degraded throughput,
01/01/2018 04:30,69.5,-1,-0.5,0,0,0.469,-34.75,-34.75,2,01/01/2018 04:30,64.5,-1,-0.5,0,0,0.469,-32.25,-32.25,2,-34.75,,,,    MAX_YEARLY_THROUGHPUT = MAX_BATTERY_CAPACITY * (EFFICIENCY**2) * 2 * 3 * 365 # redefine for degraded throughput,
01/01/2018 05:00,70.41,0,0,0.469,0.469,0.469,0,-34.75,1.99996717,01/01/2018 05:00,65.41,0,0,0.469,0.469,0.469,0,-32.25,1.99996717,0,,,,    SELF_DISCHARGE_RATE = 0,
01/01/2018 05:30,68.66,-1,-0.5,0.469,0,0.938,-34.33,-69.08,1.99996717,01/01/2018 05:30,63.66,-1,-0.5,0.469,0,0.938,-31.83,-64.08,1.99996717,-34.33,,,,,
01/01/2018 06:00,64.9,-1,-0.5,0.938,0.469,1.407,-32.45,-101.53,1.99993434,01/01/2018 06:00,59.9,-1,-0.5,0.938,0.469,1.407,-29.95,-94.03,1.99993434,-32.45,,,,,
01/01/2018 06:30,69.67,-0.575370222,-0.287685111,1.407,0.469,1.676848634,-20.0430217,-121.5730217,1.99990151,01/01/2018 06:30,64.67,-0.658649847,-0.329324924,1.407,0.469,1.715906778,-21.29744281,-115.3274428,1.99990151,-22.73586836,,,,,
01/01/2018 07:00,71.89,0,0,1.676848634,0.269848634,1.676848634,0,-121.5730217,1.999882621,01/01/2018 07:00,66.89,0,0,1.715906778,0.308906778,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 07:30,72.06,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 07:30,67.06,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 08:00,72.49,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 08:00,67.49,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 08:30,72.12,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 08:30,67.12,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 09:00,72.47,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 09:00,67.47,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 09:30,76.02,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 09:30,71.02,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 10:00,76.08,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 10:00,71.08,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 10:30,76.13,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 10:30,71.13,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 11:00,79.86,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 11:00,74.86,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 11:30,77.45,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 11:30,72.45,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 12:00,71.51,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 12:00,66.51,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 12:30,69.77,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 12:30,64.77,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 13:00,75.02,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 13:00,70.02,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 13:30,81.04,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 13:30,76.04,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 14:00,81.8,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 14:00,76.8,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 14:30,81.77,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 14:30,76.77,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 15:00,78.21,0,0,1.676848634,0,1.676848634,0,-121.5730217,1.999882621,01/01/2018 15:00,73.21,0,0,1.715906778,0,1.715906778,0,-115.3274428,1.999879887,0,,,,,
01/01/2018 15:30,83.59,0.291697269,0.136806019,1.676848634,0,1.822697269,11.43561513,-110.1374066,1.999882621,01/01/2018 15:30,78.59,0.369813557,0.173442558,1.715906778,0,1.900813557,13.63085064,-101.6965922,1.999879887,14.31488073,,,,,
01/01/2018 16:00,90.27,1,0.469,1.531,0.145848634,2.322697269,42.33663,-67.80077657,1.999872411,01/01/2018 16:00,85.27,1,0.469,1.531,0.184906778,2.400813557,39.99163,-61.70496217,1.999866943,42.33663,,,,,
01/01/2018 16:30,85.8,1,0.469,1.031,0.5,2.822697269,40.2402,-27.56057657,1.999837411,01/01/2018 16:30,80.8,1,0.469,1.031,0.5,2.900813557,37.8952,-23.80976217,1.999831943,40.2402,,,,,
01/01/2018 17:00,86.76,1,0.469,0.531,0.5,3.322697269,40.69044,13.12986343,1.999802411,01/01/2018 17:00,81.76,1,0.469,0.531,0.5,3.400813557,38.34544,14.53567783,1.999796943,40.69044,,,,,
01/01/2018 17:30,80.14,0,0,0.031,0.5,3.322697269,0,13.12986343,1.999767411,01/01/2018 17:30,75.14,0,0,0.031,0.5,3.400813557,0,14.53567783,1.999761943,0,,,,,
01/01/2018 18:00,78.45,0,0,0.031,0,3.322697269,0,13.12986343,1.999767411,01/01/2018 18:00,73.45,0,0,0.031,0,3.400813557,0,14.53567783,1.999761943,0,,,,,
01/01/2018 18:30,73.77,0,0,0.031,0,3.322697269,0,13.12986343,1.999767411,01/01/2018 18:30,68.77,0,0,0.031,0,3.400813557,0,14.53567783,1.999761943,0,,,,,
01/01/2018 19:00,75.64,0,0,0.031,0,3.322697269,0,13.12986343,1.999767411,01/01/2018 19:00,70.64,0,0,0.031,0,3.400813557,0,14.53567783,1.999761943,0,,,,,
01/01/2018 19:30,72.8,0,0,0.031,0,3.322697269,0,13.12986343,1.999767411,01/01/2018 19:30,67.8,0,0,0.031,0,3.400813557,0,14.53567783,1.999761943,0,,,,,
01/01/2018 20:00,78.9,0,0,0.031,0,3.322697269,0,13.12986343,1.999767411,01/01/2018 20:00,73.9,0,0,0.031,0,3.400813557,0,14.53567783,1.999761943,0,,,,,
