datetime,DA_price,power_DA,market_dispatch_DA,opening_capacity_DA,throughput_DA,profit_DA,SoH_DA,spot_price,power,market_dispatch,opening_capacity,throughput,profit,SoH
02/01/2018 00:00,44.96,0,0,0,0,0,2,44,-1,-0.5,0,0,-22,2
02/01/2018 00:30,44.96,0,0,0,0,0,2,49.05,0,0,0.469,0.469,0,1.99996717
02/01/2018 01:00,48.5,0,0,0,0,0,2,50.86,0.938,0.439922,0.469,0,22.37443292,1.99996717
02/01/2018 01:30,48.5,0,0,0,0,0,2,45.47,0,0,0,0.469,0,1.99993434
02/01/2018 02:00,41.95,0,0,0,0,0,2,47.06,0,0,0,0,0,1.99993434
02/01/2018 02:30,41.95,0,0,0,0,0,2,47.81,0,0,0,0,0,1.99993434
02/01/2018 03:00,37.03,-1,-0.5,0,0,-18.515,2,44.45,-0.263953847,-0.131976924,0,0,-2.156374257,1.99993434
02/01/2018 03:30,37.03,-1,-0.5,0.469,0.469,-18.515,1.99996717,41.89,-1,-0.5,0.123794354,0.123794354,-18.515,1.999925674
02/01/2018 04:00,27.05,-1,-0.5,0.938,0.469,-13.525,1.99993434,41.12,-1,-0.5,0.592794354,0.469,-13.525,1.999892844
02/01/2018 04:30,27.05,-1,-0.5,1.407,0.469,-13.525,1.99990151,40.06,-1,-0.5,1.061794354,0.469,-13.525,1.999860014
02/01/2018 05:00,37.08,-0.264093838,-0.132046919,1.876,0.469,-4.896299748,1.99986868,44.78,0,0,1.530794354,0.469,1.016761274,1.999827184
02/01/2018 05:30,37.08,0,0,1.99986001,0.12386001,0,1.99986001,45.14,0,0,1.530794354,0,0,1.999827184
02/01/2018 06:00,45.52,0,0,1.99986001,0,0,1.99986001,50.44,0,0,1.530794354,0,0,1.999827184
02/01/2018 06:30,45.52,0,0,1.99986001,0,0,1.99986001,43.34,-1,-0.5,1.530794354,0,-21.67,1.999827184
02/01/2018 07:00,46.59,0,0,1.99986001,0,0,1.99986001,46.31,0,0,1.999794354,0.469,0,1.999794354
02/01/2018 07:30,46.59,0,0,1.99986001,0,0,1.99986001,54.22,1,0.469,1.999794354,0,25.42918,1.999794354
02/01/2018 08:00,57.53,1,0.469,1.99986001,0,26.98157,1.99986001,55.97,1,0.469,1.499794354,0.5,26.98157,1.999759354
02/01/2018 08:30,57.53,1,0.469,1.49986001,0.5,26.98157,1.99982501,56.22,1,0.469,0.999794354,0.5,26.98157,1.999724354
02/01/2018 09:00,50,1,0.469,0.99986001,0.5,23.45,1.99979001,52.73,0.999588709,0.468807104,0.499794354,0.5,23.43982862,1.999689354
02/01/2018 09:30,50,0.99972002,0.468868689,0.49986001,0.5,23.44343446,1.99975501,51.38,0,0,0,0.499794354,-0.647038791,1.999654369
02/01/2018 10:00,43.45,0,0,0,0.49986001,0,1.99972002,48.51,0,0,0,0,0,1.999654369
02/01/2018 10:30,43.45,0,0,0,0,0,1.99972002,46.18,0,0,0,0,0,1.999654369
02/01/2018 11:00,41.33,-1,-0.5,0,0,-20.665,1.99972002,41.33,-1,-0.5,0,0,-20.665,1.999654369
02/01/2018 11:30,41.33,-1,-0.5,0.469,0.469,-20.665,1.99968719,40.98,-1,-0.5,0.469,0.469,-20.665,1.999621539
02/01/2018 12:00,41.33,-1,-0.5,0.938,0.469,-20.665,1.99965436,40.99,-1,-0.5,0.938,0.469,-20.665,1.999588709
02/01/2018 12:30,41.33,-1,-0.5,1.407,0.469,-20.665,1.99962153,40.75,-1,-0.5,1.407,0.469,-20.665,1.999555879
02/01/2018 13:00,42.24,-0.263496906,-0.131748453,1.876,0.469,-5.565054658,1.9995887,42.24,0,0,1.876,0.469,0,1.999523049
02/01/2018 13:30,42.24,0,0,1.999580049,0.123580049,0,1.999580049,41.78,0,0,1.876,0,0,1.999523049
02/01/2018 14:00,43.45,0,0,1.999580049,0,0,1.999580049,41.73,-0.263356936,-0.131678468,1.876,0,-5.494942461,1.999523049
02/01/2018 14:30,43.45,0,0,1.999580049,0,0,1.999580049,41.73,0,0,1.999514403,0.123514403,0,1.999514403
02/01/2018 15:00,43.45,0,0,1.999580049,0,0,1.999580049,49.01,0,0,1.999514403,0,0,1.999514403
02/01/2018 15:30,43.45,0,0,1.999580049,0,0,1.999580049,48,0,0,1.999514403,0,0,1.999514403
02/01/2018 16:00,49.62,0,0,1.999580049,0,0,1.999580049,46.76,0,0,1.999514403,0,0,1.999514403
02/01/2018 16:30,49.62,0,0,1.999580049,0,0,1.999580049,53.21,0,0,1.999514403,0,0,1.999514403
02/01/2018 17:00,76.01,1,0.469,1.999580049,0,35.64869,1.999580049,62.16,1,0.469,1.999514403,0,35.64869,1.999514403
02/01/2018 17:30,76.01,1,0.469,1.499580049,0.5,35.64869,1.999545049,65.25,1,0.469,1.499514403,0.5,35.64869,1.999479403
02/01/2018 18:00,69.02,1,0.469,0.999580049,0.5,32.37038,1.999510049,66.4,1,0.469,0.999514403,0.5,32.37038,1.999444403
02/01/2018 18:30,69.02,0.999160098,0.468606086,0.499580049,0.5,32.34319205,1.999475049,58.88,0.999028806,0.46854451,0.499514403,0.5,32.33956645,1.999409403
02/01/2018 19:00,57,0,0,0,0.499580049,0,1.999440078,53.83,0,0,0,0.499514403,0,1.999374437
02/01/2018 19:30,57,0,0,0,0,0,1.999440078,49.87,0,0,0,0,0,1.999374437
02/01/2018 20:00,47.18,0,0,0,0,0,1.999440078,48.64,0,0,0,0,0,1.999374437
02/01/2018 20:30,47.18,0,0,0,0,0,1.999440078,47.01,0,0,0,0,0,1.999374437
02/01/2018 21:00,47.44,0,0,0,0,0,1.999440078,44.13,0,0,0,0,0,1.999374437
02/01/2018 21:30,47.44,0,0,0,0,0,1.999440078,44.35,0,0,0,0,0,1.999374437
02/01/2018 22:00,39.4,0,0,0,0,0,1.999440078,44.78,0,0,0,0,0,1.999374437
02/01/2018 22:30,39.4,0,0,0,0,0,1.999440078,43.38,0,0,0,0,0,1.999374437
02/01/2018 23:00,40,0,0,0,0,0,1.999440078,39.3,0,0,0,0,0,1.999374437
02/01/2018 23:30,40,0,0,0,0,0,1.999440078,38.44,0,0,-1.21E-16,1.21E-16,0,1.999374437
03/01/2018 00:00,79.3,0,0,0,0,0,1.999374437,47.03,-1,-0.5,0,0,-23.515,1.999374437
03/01/2018 00:30,79.3,0,0,0,0,0,1.999374437,46.57,-1,-0.5,0.469,0.469,-23.285,1.999341607
03/01/2018 01:00,67.7,0,0,0,0,0,1.999374437,46.21,-1,-0.5,0.938,0.469,-23.105,1.999308777
03/01/2018 01:30,67.7,0,0,0,0,0,1.999374437,46.99,-1,-0.5,1.407,0.469,-23.495,1.999275947
03/01/2018 02:00,62.19,-0.262760107,-0.131380054,0,0,-8.170525539,1.999374437,49.14,-0.262760107,-0.131380054,1.876,0.469,-8.170525539,1.999243117
03/01/2018 02:30,62.19,0,0,0.12323449,0.12323449,0,1.99936581,49.42,0,0,1.99923449,0.12323449,0,1.99923449
03/01/2018 03:00,54.44,-1,-0.5,0.12323449,0,-27.22,1.99936581,49.42,0,0,1.99923449,0,-2.51,1.99923449
03/01/2018 03:30,54.44,-1,-0.5,0.59223449,0.469,-27.22,1.99933298,50.59,0,0,1.99923449,0,-1.925,1.99923449
03/01/2018 04:00,61.3,-1,-0.5,1.06123449,0.469,-30.65,1.99930015,50.59,0,0,1.99923449,0,-5.355,1.99923449
03/01/2018 04:30,61.3,-1,-0.5,1.53023449,0.469,-30.65,1.99926732,51.93,0,0,1.99923449,0,-4.685,1.99923449
03/01/2018 05:00,80.07,-3.66E-16,-1.83E-16,1.99923449,0.469,-1.47E-14,1.99923449,51.93,0,0,1.99923449,0,-5.16E-15,1.99923449
03/01/2018 05:30,80.07,0,0,1.99923449,0,0,1.99923449,83.7,0,0,1.99923449,0,0,1.99923449
03/01/2018 06:00,84.82,0,0,1.99923449,0,0,1.99923449,80.56,0,0,1.99923449,0,0,1.99923449
03/01/2018 06:30,84.82,0,0,1.99923449,0,0,1.99923449,89.32,0,0,1.99923449,0,0,1.99923449
03/01/2018 07:00,89.68,0,0,1.99923449,0,0,1.99923449,89.32,0,0,1.99923449,0,0,1.99923449
03/01/2018 07:30,89.68,0,0,1.99923449,0,0,1.99923449,193.79,0,0,1.99923449,0,0,1.99923449
03/01/2018 08:00,100,0,0,1.99923449,0,0,1.99923449,203.63,0,0,1.99923449,0,0,1.99923449
03/01/2018 08:30,100,0,0,1.99923449,0,0,1.99923449,217.37,0,0,1.99923449,0,0,1.99923449
03/01/2018 09:00,100.97,1,0.469,1.99923449,0,47.35493,1.99923449,238.29,0,0,1.99923449,0,-64.40308,1.99923449
03/01/2018 09:30,100.97,0.998468981,0.468281952,1.49923449,0.5,47.28242869,1.99919949,238.29,0,0,1.99923449,0,-64.30447764,1.99923449
03/01/2018 10:00,102.35,1,0.469,1,0.49923449,48.00215,1.999164544,247.39,0,0,1.99923449,0,-68.02376,1.99923449
03/01/2018 10:30,102.35,1,0.469,0.5,0.5,48.00215,1.999129544,250.09,0,0,1.99923449,0,-69.29006,1.99923449
03/01/2018 11:00,76.88,0,0,0,0.5,0,1.999094544,282.4,0,0,1.99923449,0,0,1.99923449
03/01/2018 11:30,76.88,0,0,0,0,0,1.999094544,284.38,0,0,1.99923449,0,0,1.99923449
03/01/2018 12:00,75,0,0,0,0,0,1.999094544,301.98,0,0,1.99923449,0,0,1.99923449
03/01/2018 12:30,75,0,0,0,0,0,1.999094544,309.79,0.998468981,0.468281952,1.99923449,0,145.0690659,1.99923449
03/01/2018 13:00,74.42,-0.262163363,-0.131081681,0,0,-9.755098727,1.999094544,298.26,0,0,1.5,0.49923449,29.34132356,1.999199544
03/01/2018 13:30,74.42,0,0,0.122954617,0.122954617,0,1.999085937,294.68,0,0,1.5,0,0,1.999199544
03/01/2018 14:00,74.18,-1,-0.5,0.122954617,0,-37.09,1.999085937,294.68,0,0,1.5,0,110.25,1.999199544
03/01/2018 14:30,74.18,-1,-0.5,0.591954617,0.469,-37.09,1.999053107,283.91,0,0,1.5,0,104.865,1.999199544
03/01/2018 15:00,71.87,-1,-0.5,1.060954617,0.469,-35.935,1.999020277,283.91,0,0,1.5,0,106.02,1.999199544
03/01/2018 15:30,71.87,-1,-0.5,1.529954617,0.469,-35.935,1.998987447,292.5,0,0,1.5,0,110.315,1.999199544
03/01/2018 16:00,74.98,0,0,1.998954617,0.469,0,1.998954617,282.73,0,0,1.5,0,0,1.999199544
03/01/2018 16:30,74.98,0,0,1.998954617,0,0,1.998954617,282.73,0,0,1.5,0,0,1.999199544
03/01/2018 17:00,97.34,0,0,1.998954617,0,1.52E-13,1.998954617,304.92,0,0,1.5,0,1.52E-13,1.999199544
03/01/2018 17:30,97.34,0,0,1.998954617,0,1.81E-29,1.998954617,315.14,1,0.469,1.5,0,147.80066,1.999199544
03/01/2018 18:00,129.9,1,0.469,1.998954617,0,60.9231,1.998954617,317.05,1,0.469,1,0.5,60.9231,1.999164544
03/01/2018 18:30,129.9,1,0.469,1.498954617,0.5,60.9231,1.998919617,320.75,1,0.469,0.5,0.5,60.9231,1.999129544
03/01/2018 19:00,120,1,0.469,0.998954617,0.5,56.28,1.998884617,305.04,0,0,0,0.5,-86.78376,1.999094544
03/01/2018 19:30,120,0.997909234,0.468019431,0.498954617,0.5,56.1623317,1.998849617,308.22,0,0,0,0,-88.09061728,1.999094544
03/01/2018 20:00,79.01,0,0,0,0.498954617,0,1.99881469,268.48,0,0,0,0,0,1.999094544
03/01/2018 20:30,79.01,0,0,0,0,0,1.99881469,268.48,0,0,0,0,0,1.999094544
03/01/2018 21:00,75,0,0,0,0,0,1.99881469,208.77,0,0,0,0,0,1.999094544
03/01/2018 21:30,75,0,0,0,0,0,1.99881469,182.18,0,0,0,0,0,1.999094544
03/01/2018 22:00,50,-1,-0.5,0,0,-25,1.99881469,201.11,0,0,0,0,75.555,1.999094544
03/01/2018 22:30,50,-1,-0.5,0.469,0.469,-25,1.99878186,173.56,0,0,0,0,61.78,1.999094544
03/01/2018 23:00,70.5,1,0.469,0.938,0.469,33.0645,1.99874903,134.1,0,0,0,0,-29.8284,1.999094544
03/01/2018 23:30,70.5,0.876,0.410844,0.438,0.5,28.964502,1.99871403,109.2,0,0,-1.51E-16,1.51E-16,-15.8996628,1.999094544
04/01/2018 00:00,49.29,0,0,0,0,0,1.999094544,47.18,0,0,0,0,0,1.999094544
04/01/2018 00:30,49.29,0,0,0,0,0,1.999094544,46.53,0,0,0,0,0,1.999094544
04/01/2018 01:00,45.81,0,0,0,0,0,1.999094544,46.51,0,0,0,0,0,1.999094544
04/01/2018 01:30,45.81,0,0,0,0,0,1.999094544,46.75,0,0,0,0,0,1.999094544
04/01/2018 02:00,44.12,0,0,0,0,0,1.999094544,47.54,0,0,0,0,0,1.999094544
04/01/2018 02:30,44.12,0,0,0,0,0,1.999094544,48.13,0,0,0,0,0,1.999094544
04/01/2018 03:00,39.99,-1,-0.5,0,0,-19.995,1.999094544,45.9,0,0,0,0,2.955,1.999094544
04/01/2018 03:30,39.99,-1,-0.5,0.469,0.469,-19.995,1.999061714,46.16,0,0,0,0,3.085,1.999094544
04/01/2018 04:00,39.94,-1,-0.5,0.938,0.469,-19.97,1.999028884,46.75,0,0,0,0,3.405,1.999094544
04/01/2018 04:30,39.94,-1,-0.5,1.407,0.469,-19.97,1.998996054,48.34,0,0,0,0,4.2,1.999094544
